feature,reference_mean,current_mean,reference_std,current_std,ks_statistic,p_value,normalized_mean_shift,drift_detected
v11,1.9622,-0.515,2.7303,0.8285,0.51,0.0,0.9073,True
v4,2.3271,-0.3692,3.1947,1.3372,0.495,1e-06,0.844,True
v14,-3.5021,0.2535,4.5317,1.1155,0.485,1e-06,0.8288,True
v9,-1.4554,0.2667,2.1198,1.2495,0.47,3e-06,0.8124,True
v12,-3.3257,0.2507,4.4591,0.7987,0.525,0.0,0.802,True
v6,-0.984,0.4566,1.919,2.0384,0.32,0.004543,0.7507,True
v10,-2.726,0.1597,4.2495,1.7215,0.47,3e-06,0.6791,True
v16,-2.2294,-0.0199,3.4396,0.698,0.43,3.1e-05,0.6424,True
v17,-3.7184,0.0145,6.0181,0.5941,0.45,1e-05,0.6203,True
v7,-3.2818,-0.1244,5.8191,1.1954,0.4,0.000141,0.5426,True
v5,-2.1277,0.5686,5.4201,1.666,0.38,0.000363,0.4975,True
v18,-1.1459,0.0536,2.4932,0.5879,0.315,0.005492,0.4811,True
v3,-4.4677,-1.0847,7.5816,2.3189,0.31,0.006617,0.4462,True
amount,86.9602,36.1577,142.0017,55.1208,0.215,0.126772,0.3578,True
v1,-3.2897,-0.8882,7.1259,3.0567,0.27,0.026254,0.337,True
v21,0.7534,0.0898,2.8594,0.428,0.345,0.001679,0.2321,True
v13,-0.0393,-0.2738,1.1,0.8011,0.25,0.048563,0.2132,True
v19,0.3299,0.1184,1.2648,0.8141,0.295,0.011356,0.1672,True
v25,0.0605,-0.056,0.7671,0.651,0.25,0.048563,0.1519,True
v22,-0.2001,0.0958,1.2063,0.7965,0.205,0.162299,0.2453,False
v2,2.1096,1.0747,4.3312,2.2653,0.235,0.074603,0.2389,False
v24,-0.0197,0.0946,0.5086,0.5447,0.245,0.056203,0.2248,False
v26,-0.028,0.0387,0.4299,0.5301,0.135,0.636672,0.1553,False
v28,0.0207,0.0788,0.3781,0.2627,0.16,0.423078,0.1537,False
v23,-0.0475,0.0702,0.7831,0.2994,0.235,0.074603,0.1503,False
v27,0.1704,0.0632,0.7942,0.5962,0.21,0.143664,0.135,False
v8,1.2431,0.6975,5.9163,1.4689,0.135,0.636672,0.0922,False
v15,0.008,-0.0278,0.8425,0.8624,0.18,0.285364,0.0426,False
v20,0.0674,0.096,0.9508,0.6519,0.185,0.256471,0.0301,False
